"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:3a84O4cHDfoCxu7WZWnWrk","Toxic Sweet(feat. JP THE WAVY)","spotify:artist:4UhiMIdxKqQxmzdE9nYe6O, spotify:artist:0hBYSjDjcAaAuSZcpN8jk9","m-flo, JP THE WAVY","spotify:album:7CWy5zyYk164wX1s02Ct2l","Toxic Sweet(feat. JP THE WAVY)","2019-08-07","1","1","227137","false","35","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2xcN5s2QLPgWRDvs0hj6ja","Hum!","spotify:artist:5DbBdSGEbUynwuApR95Bfi","maco marets","spotify:album:6KSOm6k0f6xKWz2DDjOPhk","KINŌ","2018-11-07","1","2","184210","false","41","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2T8t9ylcDIOZNkEW5MQvhA","PRIVATE FUTURE","spotify:artist:4QBaxNPLrpxn48GQpBvNgn","ODD Foot Works","spotify:album:1TiqfDBtirfwUYId48vhH0","GOKOH","2019-04-24","1","5","236009","false","25","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5QVnbTDIKemCwOKnatMirR","Up & Up","spotify:artist:76iBBRevLm9bGNAo9bBnIK, spotify:artist:1Fe6FA7A57suR2KAaERpqH","KIKUMARU, ¥ellow Bucks","spotify:album:6Yc8zwnbw9hl45uvtv90Lf","Up & Up","2019-03-22","1","1","221676","true","7","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3xlAxXlBhfbJ1HMrMcjb2t","The More, The Better","spotify:artist:0qQOHfWvRf8O1wXYXMmV6U","Ryohu","spotify:album:5MVMRy1be9O4I75lE1pyVR","Blur EP","2017-10-11","1","1","212272","false","35","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0u0U5rrobLn0vJ6wduoeDC","What Are You Doing The Rest Of Your Life?","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:3YHErRDscXD5hbv98iq3yU","From Left To Right","1970","1","1","245000","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5XIyoye9jqgil4K0PCPoRk","i f a surfer","spotify:artist:14d5KCX9nprUcxnKIShrr1","MASS OF THE FERMENTING DREGS","spotify:album:1C8uN2OHUV6UZmkEPu9rzv","kirametal","2006-09-15","1","2","215653","false","26","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1BKTC2TMUJ11nUxvrzTwfy","ゼロコンマ、色とりどりの世界","spotify:artist:14d5KCX9nprUcxnKIShrr1","MASS OF THE FERMENTING DREGS","spotify:album:4lE2W9dGFUWe8pjpM6QNWF","ゼロコンマ、色とりどりの世界","2010-07-30","1","1","271546","false","37","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:6iENYbkeXO848sFHX3HzJE","ASAHINAGU","spotify:artist:14d5KCX9nprUcxnKIShrr1","MASS OF THE FERMENTING DREGS","spotify:album:1Or7rQnUCdwz3NX5QFSIne","No New World","2018-07-04","1","2","259519","false","42","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1FT1mKVdMktxF3aAbihEpy","過去と未来だけ","spotify:artist:0X9vdekJ6sIKcUvwIgVsjW","OGRE YOU ASSHOLE","spotify:album:65yEG0c8fWHBSZ1e2yfoOL","新しい人","2019-09-04","1","4","268506","false","21","spotify:user:1227113","2019-12-13T16:28:46Z"
